SDRidu,SDRpop_2021,SDRtlog_2021
2430005,667,354
2430010,1028,817
2430015,183,132
2430020,398,315
2430025,1811,922
2430030,5747,3143
2430035,777,419
2430040,318,212
2430045,1388,668
2430050,853,491
2430055,708,317
2430070,529,237
2430072,1074,507
2430080,1067,600
2430085,674,329
2430090,814,430
2430095,1630,1143
2430100,711,425
2430105,535,272
2430110,1036,946
2440005,214,147
2440010,522,262
2440017,1402,680
2440025,551,245
2440032,958,460
2440043,7088,3691
2440047,3888,1878
2441012,673,353
2441020,319,231
2441027,805,425
2441037,698,401
2441038,5344,2283
2441055,3368,1364
2441060,3840,1718
2441065,1097,440
2441070,1252,607
2441075,193,114
2441080,459,272
2441085,456,334
2441098,2667,1633
2441117,1755,1062
2442005,3014,1283
2442020,2469,1058
2442025,4594,2095
2442032,1340,706
2442040,650,326
2442045,618,295
2442050,625,277
2442055,2139,1123
2442060,1029,493
2442065,456,204
2442070,142,75
2442075,1096,494
2442078,433,214
2442088,5294,2446
2442095,1671,723
2442098,3259,1720
2442100,1141,585
2442110,1581,696
2443027,172950,86019
2444003,514,265
2444005,69,61
2444010,282,158
2444015,690,543
2444023,732,303
2444037,8867,4282
2444045,546,259
2444050,642,314
2444055,546,208
2444060,441,191
2444071,3270,1379
2444080,2307,950
2445008,2824,1381
2445020,761,563
2445025,1148,957
2445030,2012,1965
2445035,1180,643
2445043,771,472
2445050,675,450
2445055,2230,954
2445060,2741,1429
2445072,28312,15009
2445080,43,13
2445085,1748,1410
2445093,2279,1548
2445095,1108,856
2445100,816,572
2445105,1142,599
2445115,5007,3099
