SRIDU,TotDec,D1, D2, D3, D4, D5, D6, D7, D8, D9, D10
"4330001.00 (SR), Sherbrooke (RMR) (4330001.00) (00000)",5315,865,930,790,730,585,515,380,290,145,85
"4330002.00 (SR), Sherbrooke (RMR) (4330002.00) (00000)",1825,455,335,330,240,155,145,115,25,30,0
"4330003.00 (SR), Sherbrooke (RMR) (4330003.00) (00000)",2885,900,615,450,395,200,175,75,40,30,10
"4330004.00 (SR), Sherbrooke (RMR) (4330004.00) (00000)",4640,1250,950,885,600,440,210,175,70,60,5
"4330005.00 (SR), Sherbrooke (RMR) (4330005.00) (00000)",1950,505,375,330,225,170,135,85,75,30,20
"4330006.00 (SR), Sherbrooke (RMR) (4330006.00) (00000)",2520,675,540,350,295,220,180,120,90,30,20
"4330007.00 (SR), Sherbrooke (RMR) (4330007.00) (00000)",2605,725,435,300,245,265,200,165,115,100,50
"4330008.00 (SR), Sherbrooke (RMR) (4330008.00) (00000)",3085,380,385,440,385,335,355,305,215,170,100
"4330009.01 (SR), Sherbrooke (RMR) (4330009.01) (00000)",4105,190,355,530,505,555,520,515,480,295,160
"4330009.02 (SR), Sherbrooke (RMR) (4330009.02) (00000)",5395,890,1090,860,645,565,420,350,235,160,180
"4330010.00 (SR), Sherbrooke (RMR) (4330010.00) (00000)",3540,380,390,360,370,415,335,370,345,285,290
"4330011.00 (SR), Sherbrooke (RMR) (4330011.00) (00000)",1945,365,230,255,205,150,140,150,135,140,165
"4330012.00 (SR), Sherbrooke (RMR) (4330012.00) (00000)",1775,540,275,210,195,160,120,80,60,75,60
"4330013.00 (SR), Sherbrooke (RMR) (4330013.00) (00010)",1720,780,365,215,140,95,70,30,20,10,0
"4330014.00 (SR), Sherbrooke (RMR) (4330014.00) (00000)",2890,745,575,470,355,195,190,160,110,60,35
"4330015.01 (SR), Sherbrooke (RMR) (4330015.01) (00000)",2635,515,480,445,345,230,240,180,100,75,25
"4330015.02 (SR), Sherbrooke (RMR) (4330015.02) (00000)",5965,1425,1170,920,725,595,425,325,195,115,65
"4330016.00 (SR), Sherbrooke (RMR) (4330016.00) (00000)",3960,805,810,610,585,420,290,200,140,70,30
"4330017.00 (SR), Sherbrooke (RMR) (4330017.00) (00000)",2905,775,590,450,320,260,220,110,110,40,35
"4330018.00 (SR), Sherbrooke (RMR) (4330018.00) (00000)",4855,635,610,685,555,455,500,405,350,310,350
"4330019.01 (SR), Sherbrooke (RMR) (4330019.01) (00000)",6795,785,945,1030,890,690,665,535,385,405,475
"4330019.02 (SR), Sherbrooke (RMR) (4330019.02) (00000)",7530,620,715,825,890,850,695,705,660,665,905
"4330100.00 (SR), Sherbrooke (RMR) (4330100.00) (00000)",5545,995,615,660,595,575,550,525,395,405,245
"4330110.01 (SR), Sherbrooke (RMR) (4330110.01) (00000)",4280,200,370,385,445,510,540,595,510,380,345
"4330110.03 (SR), Sherbrooke (RMR) (4330110.03) (00000)",6825,250,360,480,655,705,905,900,960,865,755
"4330110.04 (SR), Sherbrooke (RMR) (4330110.04) (00000)",6370,345,620,635,915,875,795,770,660,525,225
"4330110.06 (SR), Sherbrooke (RMR) (4330110.06) (00000)",6860,390,775,780,860,905,940,805,625,475,315
"4330110.07 (SR), Sherbrooke (RMR) (4330110.07) (00000)",7925,385,740,970,975,985,945,915,845,765,390
"4330111.01 (SR), Sherbrooke (RMR) (4330111.01) (00000)",8340,1515,1295,1240,1125,985,745,625,420,225,160
"4330111.02 (SR), Sherbrooke (RMR) (4330111.02) (00000)",1110,45,65,95,110,85,115,150,165,160,120
"4330111.05 (SR), Sherbrooke (RMR) (4330111.05) (00000)",4685,215,365,470,590,605,595,610,530,445,260
"4330111.06 (SR), Sherbrooke (RMR) (4330111.06) (00000)",3570,195,230,345,435,495,445,455,415,285,255
"4330111.07 (SR), Sherbrooke (RMR) (4330111.07) (00000)",8550,830,970,1100,1165,1055,1010,870,760,480,305
"4330111.08 (SR), Sherbrooke (RMR) (4330111.08) (00000)",4955,330,485,570,665,685,625,555,555,345,140
"4330112.01 (SR), Sherbrooke (RMR) (4330112.01) (00000)",3015,135,280,335,300,345,405,395,345,310,160
"4330112.02 (SR), Sherbrooke (RMR) (4330112.02) (00000)",3355,210,340,330,325,400,480,440,355,290,185
"4330113.01 (SR), Sherbrooke (RMR) (4330113.01) (00000)",5290,190,365,525,610,695,815,735,615,475,270
"4330113.02 (SR), Sherbrooke (RMR) (4330113.02) (00000)",6935,225,530,585,1000,990,895,840,890,595,385
"4330200.00 (SR), Sherbrooke (RMR) (4330200.00) (00000)",1755,115,145,180,170,180,160,160,170,200,270
"4330201.00 (SR), Sherbrooke (RMR) (4330201.00) (00000)",2910,230,390,460,485,360,315,320,185,115,55
"4330202.00 (SR), Sherbrooke (RMR) (4330202.00) (00000)",2570,200,340,390,360,400,310,285,175,65,50
"4330300.01 (SR), Sherbrooke (RMR) (4330300.01) (00000)",6210,390,650,720,840,765,790,705,635,490,225
"4330300.02 (SR), Sherbrooke (RMR) (4330300.02) (00000)",4575,215,295,395,460,530,610,595,530,425,525
"4330400.01 (SR), Sherbrooke (RMR) (4330400.01) (00000)",6330,430,680,715,690,700,670,635,680,565,565
"4330400.02 (SR), Sherbrooke (RMR) (4330400.02) (00000)",6015,785,1000,820,875,710,600,520,330,225,155
"4330400.03 (SR), Sherbrooke (RMR) (4330400.03) (00000)",6075,1055,1120,930,795,595,490,430,295,245,130
"4330400.05 (SR), Sherbrooke (RMR) (4330400.05) (00000)",2675,195,245,330,295,235,355,245,235,200,340
"4330400.06 (SR), Sherbrooke (RMR) (4330400.06) (00000)",5870,415,725,730,710,670,705,590,565,415,350
"4330401.00 (SR), Sherbrooke (RMR) (4330401.00) (00000)",1670,115,185,230,200,175,215,220,165,100,60
"4330402.00 (SR), Sherbrooke (RMR) (4330402.00) (00000)",5005,300,265,385,505,530,590,515,650,600,660
